Company,FileNo,Opened,Closed,Coverage,SubCoverage,Reason,SubReason,Disposition,Conclusion,Recovery,Status
Nationwide General Insurance Company,800734,02/13/2018,03/12/2018,Auto Physical Damage,,Premium and Rating,Excessive Charges,Company Position Upheld,Unjustified,0.00,Closed
LM General Insurance Company,800960,02/23/2018,03/12/2018,Commercial Fire,,Premium and Rating,Excessive Charges,Company Position Upheld,Unjustified,0.00,Closed
Genworth Life Insurance Company,800978,02/26/2018,03/12/2018,Individual Long Term Care,No SubCov - AH,Premium and Rating,Premium/Rate Increase,Furnished Information,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",800738,02/13/2018,03/12/2018,Group Health,Data Breach,Marketing/Sales,Policy Service,Furnished Information,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",800578,02/01/2018,03/12/2018,Exchange-Individual Hlth,No SubCov - AH,Marketing/Sales,Failed to Remit Premium,Furnished Information,Questionable,0.00,Closed
USAA Casualty Insurance Company,800741,02/14/2018,03/12/2018,Auto Liability,,Unfair Claims Practice,Claim Procedure,Company Position Upheld,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",900549,02/04/2019,03/26/2019,A & H,Dental,Unfair Claims Practice,CPT Code Issue,Furnished Information,Furnished Information,0.00,Closed
Knights of Columbus,800588,02/02/2018,03/12/2018,Individual Life,Whole Life,Unfair Claims Practice,Unsatisfactory Settlement,Company Position Upheld,Unjustified,0.00,Closed
Allstate Insurance Company,800962,02/26/2018,03/12/2018,Auto,,Premium and Rating,Excessive Charges,Company Position Upheld,Unjustified,0.00,Closed
National Casualty Company,803248,07/16/2018,08/14/2018,,,Unfair Claims Practice,Denial of Claim,Claim Settled,Questionable,67.50,Closed
Liberty Mutual Fire Insurance Company,801035,02/28/2018,03/14/2018,Homeowners,,Unfair Claims Practice,Unsatisfactory Offer,Refer To Appraisal,Unjustified,0.00,Closed
Allstate Fire and Casualty Insurance Company,901061,03/05/2019,03/26/2019,Auto Physical Damage,,Unfair Claims Practice,Unsatisfactory Settlement,Additional Money Received,Unjustified,369.03,Closed
UnitedHealthcare Insurance Company,800882,02/21/2018,03/14/2018,Group Health,Other,Unfair Claims Practice,Unsatisfactory Settlement,Claim Settled,Justified,111.60,Closed
John Hancock Life Insurance Company (USA),800968,02/26/2018,03/14/2018,Individual Long Term Care,Long Term Individual,Premium and Rating,Premium/Notice,Furnished Information,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",800840,02/20/2018,03/14/2018,Group Health,No SubCov - AH,Unfair Claims Practice,Claim Procedure,Furnished Information,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",800909,02/21/2018,03/16/2018,Exchange-Individual Hlth,Maternity,Unfair Claims Practice,Unsatisfactory Settlement,Additional Money Received,Justified,3100.00,Closed
"Anthem Health Plans, Inc",801029,02/28/2018,03/14/2018,Group Health,Behavl Hlth/Subst Abuse,Unfair Claims Practice,Denial of Claim,Contract Provision,Furnished Information,0.00,Closed
Allstate Fire and Casualty Insurance Company,803034,06/29/2018,08/14/2018,,,Unfair Claims Practice,Comparative Negligence,Refer-Judicial/Attorney,Justified,0.00,Closed
UnitedHealthcare Insurance Company,805656,12/05/2018,12/17/2018,,,Unfair Claims Practice,Eligibility of Provider,Furnished Information,Furnished Information,0.00,Closed
"Foremost Insurance Company Grand Rapids, Michigan",802463,05/24/2018,08/14/2018,Homeowners,,Premium and Rating,Excessive Charges,Company Position Upheld,Unjustified,0.00,Closed
Transamerica Life Insurance Company,805358,11/14/2018,12/17/2018,Individual Long Term Care,Long Term Individual,Unfair Claims Practice,Claim Delays,Furnished Information,Furnished Information,0.00,Closed
"ConnectiCare Insurance Company, Inc",801025,02/27/2018,03/14/2018,,,Marketing/Sales,Policy Service,Furnished Information,Voluntary Reconsider,0.00,Closed
"Anthem Health Plans, Inc",801029,02/28/2018,03/14/2018,,,Unfair Claims Practice,Denial of Claim,Contract Provision,Furnished Information,0.00,Closed
Nationwide General Insurance Company,800219,01/16/2018,03/14/2018,Auto Liability,,Unfair Claims Practice,Unsatisfactory Offer,Company Position Upheld,Unjustified,0.00,Closed
Golden Rule Insurance Company,801170,03/08/2018,03/20/2018,,,Utilization Review,UR Procedure,Coverage Granted,Furnished Information,22998.00,Closed
State Farm Mutual Automobile Insurance Company,800751,02/14/2018,03/20/2018,Auto Liability,,Unfair Claims Practice,Claim Delays,Corrective Action,Justified,0.00,Closed
Brighthouse Life Insurance Company,800953,02/23/2018,03/20/2018,Individual Long Term Care,No SubCov - AH,Utilization Review,Medical Necessity,Company Position Upheld,Furnished Information,0.00,Closed
Hartford Underwriters Insurance Company,800667,02/08/2018,03/20/2018,Auto,,Premium and Rating,Excessive Charges,Corrective Action,Questionable,0.00,Closed
GEICO General Insurance Company,801130,03/06/2018,03/20/2018,Auto,,Underwriting,Cancellation,Pol Restored/Reinstated,Voluntary Reconsider,0.00,Closed
"ConnectiCare Insurance Company, Inc",801025,02/27/2018,03/14/2018,Individual Health,No SubCov - AH,Marketing/Sales,Policy Service,Furnished Information,Voluntary Reconsider,0.00,Closed
"Anthem Health Plans, Inc",800974,02/26/2018,03/14/2018,Group Health,CT Scan,Unfair Claims Practice,Unsatisfactory Settlement,Company Position Upheld,Furnished Information,0.00,Closed
Bankers Life and Casualty Company,800648,02/07/2018,03/14/2018,Individual Life,Universal Life,Marketing/Sales,Producer Handling,Contract Provision,Unjustified,0.00,Closed
Liberty Mutual Fire Insurance Company,801035,02/28/2018,03/14/2018,Homeowners,,Unfair Claims Practice,Claim Delays,Refer To Appraisal,Unjustified,0.00,Closed
Progressive Direct Insurance Company,803283,07/18/2018,08/14/2018,Auto Physical Damage,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
Nationwide General Insurance Company,801145,03/08/2018,03/14/2018,Auto Liability,,Unfair Claims Practice,Actual Cash Value Dispute,Complaint Withdrawn,No Action Necessary,0.00,Closed
American Strategic Insurance Corp.,805426,11/16/2018,12/17/2018,Homeowners,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
Bankers Life and Casualty Company,800648,02/07/2018,03/14/2018,,,Marketing/Sales,Producer Handling,Contract Provision,Unjustified,0.00,Closed
"ConnectiCare Insurance Company, Inc",801011,02/27/2018,03/14/2018,Individual Health,Emergency,Unfair Claims Practice,Contract Provision,Contract Provision,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",800951,02/23/2018,03/14/2018,Individual Health,No SubCov - AH,Marketing/Sales,No Coverage/Premium Paid,Company Position Upheld,Furnished Information,0.00,Closed
Nationwide Property & Casualty Insurance Company,800873,02/21/2018,03/14/2018,Homeowners,,Unfair Claims Practice,Unsatisfactory Offer,Refer To Appraisal,Unjustified,0.00,Closed
Northwestern Mutual Life Insurance Company,800673,02/08/2018,03/14/2018,Individual Long Term Care,No SubCov - AH,Marketing/Sales,Policy Service,Furnished Information,Voluntary Reconsider,0.00,Closed
Travelers Home and Marine Insurance Company (The),801044,03/01/2018,03/14/2018,Condo Unit Owner,,Unfair Claims Practice,Unsatisfactory Settlement,Company Position Upheld,Unjustified,0.00,Closed
Connecticut Interlocal Risk Management Agency (CIRMA),901243,03/15/2019,03/26/2019,,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
Amica Mutual Insurance Company,801034,02/28/2018,03/15/2018,Homeowners,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
"Foremost Insurance Company Grand Rapids, Michigan",801071,03/01/2018,03/15/2018,Auto Physical Damage,,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,2516.30,Closed
"Anthem Health Plans, Inc",801297,03/15/2018,03/15/2018,Group Health,Dental,Unfair Claims Practice,Claim Delays,Record Only,No Action Necessary,0.00,Closed
State Farm Mutual Automobile Insurance Company,801031,02/28/2018,03/15/2018,Auto Liability,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
"Seneca Insurance Company, Inc.",800807,02/16/2018,03/15/2018,Condo Association,,Underwriting,Other [Enter Sub-Reason],Corrective Action,Justified,0.00,Closed
RepWest Insurance Company,800832,02/20/2018,03/15/2018,Auto Liability,,Unfair Claims Practice,Unsatisfactory Offer,Contract Provision,Unjustified,0.00,Closed
State Farm Fire & Casualty Company,800831,02/20/2018,03/15/2018,,,Premium and Rating,Excessive Charges,Company Position Upheld,Unjustified,0.00,Closed
Nationwide General Insurance Company,800733,02/13/2018,03/15/2018,Auto Liability,,Unfair Claims Practice,Comparative Negligence,Refer-Judicial/Attorney,Unjustified,0.00,Closed
State Farm Life Insurance Company,800821,02/20/2018,03/15/2018,Individual Life,Term Life,Underwriting,Refusal to Insure,Company Position Upheld,Unjustified,0.00,Closed
State Farm Mutual Automobile Insurance Company,801031,02/28/2018,03/15/2018,,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
Virginia Surety Company Inc.,800263,01/17/2018,02/14/2018,Travel Insurance,,Unfair Claims Practice,Claim Delays,Coverage Denied,Unjustified,0.00,Closed
"Seneca Insurance Company, Inc.",800807,02/16/2018,03/15/2018,,,Underwriting,Other [Enter Sub-Reason],Corrective Action,Justified,0.00,Closed
Liberty Mutual Fire Insurance Company,800826,02/20/2018,03/15/2018,Auto Liability,,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,0.00,Closed
Amica Mutual Insurance Company,803603,08/03/2018,08/14/2018,Auto,,Premium and Rating,Other Fees,Corrective Action,Justified,0.00,Closed
"ConnectiCare Benefits, Inc.",901187,03/12/2019,03/26/2019,Exchange-Individual Hlth,Prescription,Utilization Review,Medical Necessity,Coverage Extended,Furnished Information,0.00,Closed
Main Street America Assurance Company,800517,01/30/2018,03/15/2018,Auto Liability,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",801297,03/15/2018,03/15/2018,,,Unfair Claims Practice,Claim Delays,Record Only,No Action Necessary,0.00,Closed
State Farm Fire & Casualty Company,800831,02/20/2018,03/15/2018,Dwelling Fire,,Premium and Rating,Excessive Charges,Company Position Upheld,Unjustified,0.00,Closed
Atain Specialty Insurance Company,800791,02/15/2018,03/15/2018,General Liability,,Underwriting,Non-Renewal,Company Position Upheld,Unjustified,0.00,Closed
Atain Specialty Insurance Company,800791,02/15/2018,03/15/2018,,,Underwriting,Non-Renewal,Company Position Upheld,Unjustified,0.00,Closed
"Foremost Insurance Company Grand Rapids, Michigan",800800,02/16/2018,03/15/2018,Auto Liability,,Unfair Claims Practice,Claim Delays,Claim Settled,Justified,1186.68,Closed
GEICO General Insurance Company,800130,01/10/2018,01/25/2018,Auto Liability,,Unfair Claims Practice,Loss of Use,Enter Arbitration,Unjustified,0.00,Closed
Permanent General Assurance Corporation,803473,07/27/2018,08/14/2018,,,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,0.00,Closed
Nationwide General Insurance Company,800733,02/13/2018,03/15/2018,,,Unfair Claims Practice,Comparative Negligence,Refer-Judicial/Attorney,Unjustified,0.00,Closed
Progressive Direct Insurance Company,800900,02/21/2018,03/15/2018,Auto Physical Damage,,Unfair Claims Practice,Unsatisfactory Settlement,Company Position Upheld,Unjustified,0.00,Closed
UnitedHealthcare Insurance Company,800184,01/12/2018,03/16/2018,Group Health,CT Scan,Marketing/Sales,Policy Service Delay,Satisfied,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",801061,03/01/2018,03/16/2018,Exchange-Individual Hlth,No SubCov - AH,Marketing/Sales,Failed to Remit Premium,Contract Provision,Furnished Information,0.00,Closed
Aetna Life Insurance Company,801323,03/16/2018,03/16/2018,Group Health,Out-Patient,Unfair Claims Practice,Claim Procedure,Complaint Withdrawn,No Action Necessary,0.00,Closed
Travelers Personal Security Insurance Company,800963,02/26/2018,03/16/2018,Homeowners,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
Liberty Mutual Insurance Company,801272,03/15/2018,03/16/2018,Other [Enter Coverage],,FOI Inquiry,No Subreason,Furnished Information,Furnished Information,0.00,Closed
Liberty Mutual Insurance Company,801049,03/01/2018,03/16/2018,Other [Enter Coverage],,FOI Inquiry,No Subreason,Record Only,No Action Necessary,0.00,Closed
"Anthem Health Plans, Inc",800922,02/22/2018,03/16/2018,Exchange-Dental,Dental,Premium and Rating,Premium/Notice,Pol Restored/Reinstated,Furnished Information,0.00,Closed
SAFECO Insurance Company of America,801272,03/15/2018,03/16/2018,Other [Enter Coverage],,FOI Inquiry,No Subreason,Furnished Information,Furnished Information,0.00,Closed
GEICO General Insurance Company,803363,07/23/2018,08/14/2018,Auto Physical Damage,,Unfair Claims Practice,Claim Procedure,Company Position Upheld,Unjustified,0.00,Closed
Travelers Home and Marine Insurance Company (The),800931,02/22/2018,03/16/2018,Auto Liability,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
"Oxford Health Plans (CT), Inc",801121,03/06/2018,03/16/2018,,,Unfair Claims Practice,Unsatisfactory Settlement,Contract Provision,Furnished Information,0.00,Closed
"Oxford Health Plans (CT), Inc",801121,03/06/2018,03/16/2018,Group Health,Ambulance,Unfair Claims Practice,Unsatisfactory Settlement,Contract Provision,Furnished Information,0.00,Closed
Travelers Home and Marine Insurance Company (The),800931,02/22/2018,03/16/2018,,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",800384,01/24/2018,03/16/2018,,,Unfair Claims Practice,Coordination of Benefit,Corrective Action,Furnished Information,13457.00,Closed
Allstate Insurance Company,803422,07/25/2018,08/14/2018,Auto Liability,,Unfair Claims Practice,Comparative Negligence,Company Position Upheld,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",801005,02/27/2018,03/16/2018,Individual Health,In-Patient,Utilization Review,Medical Necessity,External Review Info Sent,Furnished Information,0.00,Closed
"ConnectiCare Benefits, Inc.",901051,03/05/2019,03/26/2019,Exchange-Individual Hlth,No SubCov - AH,Premium and Rating,Premium/Rate Increase,Furnished Information,Furnished Information,0.00,Closed
Genworth Life Insurance Company,801026,02/27/2018,03/14/2018,Individual Long Term Care,Long Term Individual,Premium and Rating,Premium/Rate Increase,Rate Increase Explained,Furnished Information,0.00,Closed
Aetna Life Insurance Company,801323,03/16/2018,03/16/2018,,,Unfair Claims Practice,Claim Procedure,Complaint Withdrawn,No Action Necessary,0.00,Closed
GEICO General Insurance Company,801048,03/01/2018,03/16/2018,Auto,,Marketing/Sales,No Coverage/Premium Paid,Company Position Upheld,Unjustified,0.00,Closed
Plymouth Rock Assurance Corporation,803339,07/20/2018,08/14/2018,,,Unfair Claims Practice,Claim Delays,Corrective Action,Justified,0.00,Closed
"Anthem Health Plans, Inc",801061,03/01/2018,03/16/2018,,,Marketing/Sales,Failed to Remit Premium,Contract Provision,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",800384,01/24/2018,03/16/2018,Group Health,Small Employer,Unfair Claims Practice,Coordination of Benefit,Corrective Action,Furnished Information,13457.00,Closed
Allianz Life Insurance Company of North America,801032,02/28/2018,03/16/2018,Individual Long Term Care,No SubCov - AH,Premium and Rating,Premium/Rate Increase,Rate Increase Explained,Furnished Information,0.00,Closed
Homesite Insurance Company,803398,07/24/2018,08/14/2018,Homeowners,,Unfair Claims Practice,Unsatisfactory Settlement,Corrective Action,Justified,0.00,Closed
Connecticut Attorneys Title Insurance Company,800995,02/27/2018,03/19/2018,Title Insurance,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
Standard Fire Insurance Company (The),801129,03/06/2018,03/19/2018,Auto Medical Payment,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
"ConnectiCare Insurance Company, Inc",800572,02/01/2018,03/19/2018,Group Health,Emergency,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Furnished Information,0.00,Closed
GEICO Indemnity Company,800894,02/21/2018,03/19/2018,Auto Liability,,Unfair Claims Practice,Comparative Negligence,Corrective Action,Questionable,615.92,Closed
State Farm Fire & Casualty Company,800816,02/16/2018,03/19/2018,Auto Physical Damage,,Unfair Claims Practice,Claim Procedure,Corrective Action,Justified,1642.08,Closed
Mutual of Omaha Insurance Company,801030,02/28/2018,03/19/2018,Individual Health,No SubCov - AH,Marketing/Sales,Policy Service,Company Position Upheld,Furnished Information,0.00,Closed
